Training CBOW_CrossEntropyLoss_SGD-lr0.020...
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 98 | Loss 0.031170539335665312
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 99 | Loss 0.031161366992078447
Saved CBOW_CrossEntropyLoss_SGD-lr0.010 (./data/embeddings/CBOW_CrossEntropyLoss_SGD-lr0.010.pt)
Training CBOW_CrossEntropyLoss_SGD-lr0.001...
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 0 | Loss 0.04853175747038497
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 1 | Loss 0.0432956384156001
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 2 | Loss 0.041458477941305194
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 3 | Loss 0.04040833772084861
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 4 | Loss 0.039697975794138717
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 5 | Loss 0.039167036198816924
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 6 | Loss 0.03874876918323493
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 7 | Loss 0.03840704700448951
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 8 | Loss 0.03812126971960751
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 9 | Loss 0.03787633438975141
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 10 | Loss 0.037662926080967676
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 11 | Loss 0.03747367374430151
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 12 | Loss 0.0373048845802568
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 13 | Loss 0.037151428245640765
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 14 | Loss 0.0370118730167717
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 15 | Loss 0.036883797767423634
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 16 | Loss 0.036765130572268566
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 17 | Loss 0.03665471906834318
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 18 | Loss 0.03655187649388144
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 19 | Loss 0.03645535736568057
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 20 | Loss 0.03636436434169019
